node,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64
Marty,0.0944801,0.30138433,0.15762664,0.42073464,0.027706249,-0.6869238,0.3998147,-0.13224328,-0.20372039,0.04677664,0.23951471,0.066596985,-0.4823159,-0.16582195,-0.08078602,0.17176239,-0.32837903,-0.3518756,-0.19650052,0.13868494,0.09867443,0.54084283,0.37430978,-0.36478245,-0.12314792,0.5575335,0.261953,0.18145043,-0.29085454,0.15945868,-0.08468384,-0.120238036,-0.21755719,-0.016901279,0.112682305,0.2164058,-0.09290139,-0.43850324,-0.12447502,-0.051516186,-0.046943545,0.23215024,-0.48577854,-0.25153878,0.055933967,-0.04473157,0.27871686,-0.054863527,-0.11849552,0.16122256,0.47488803,0.22834252,-0.32648203,-0.38036695,0.005746513,0.15288867,-0.17171216,-0.042717423,-0.19001016,-0.15748258,-0.4045884,-0.43897504,-0.11628491,0.21038456
Scotty,0.26016527,0.33809832,0.081317015,0.24064185,0.21032985,-0.22302072,0.4011984,0.1313627,-0.2629722,0.2501773,0.18087113,0.08075048,0.11169223,-0.21472795,0.03994111,0.26369438,0.012883892,-0.102191545,0.14079799,0.2207712,0.35524088,0.23119996,-0.051374502,-0.44630796,0.22095259,0.40543237,-0.031173639,0.029329434,0.19527636,-0.32545787,0.07684982,-0.16995183,-0.028086133,-0.3097394,-0.03631205,0.085474625,-0.050294425,0.23581092,0.011290414,0.47395825,-0.05926612,-0.05494338,0.09622633,-0.17951666,0.13813071,-0.30046552,0.16477448,-0.30771917,0.07572723,-0.1306574,0.016721535,0.3440106,0.047191735,0.097605616,0.18391745,-0.08594719,0.12076247,0.15640257,-0.20344904,0.21624362,-0.02741724,0.16004923,-0.061363015,0.20783626
Penny,0.24533635,-0.14344011,0.2772789,0.12228344,0.24284549,-0.447501,0.07500427,-0.12288755,-0.014239728,0.19451655,0.100711346,0.070119046,0.1022253,0.28304115,0.033732384,0.040352724,-0.43147185,-0.018135717,-0.14208692,0.1691125,0.09895106,0.60647273,0.04710145,-0.19306284,-0.022554312,0.22386046,-0.17629138,0.05030727,0.025950916,-0.15860805,0.1427369,0.16419595,-0.23082004,-0.017896919,-0.11364522,0.18910766,0.19058983,-0.017931556,0.10511981,0.19179036,0.005177476,-0.10391785,-0.006051112,-0.18770282,0.2910321,-0.009159063,0.09878405,-0.12858784,-0.2433458,0.019275019,0.18579409,-0.16572896,-0.114500254,0.028367953,-0.34398624,-0.0047751963,-0.022041861,-0.048574515,-0.28016877,-0.15113807,-0.22354259,-0.14784199,0.22345224,0.26651156
Tony,0.15421908,-0.0798031,0.14075527,0.21413983,0.009678439,0.044329587,0.10180048,-0.15143014,-0.015091246,0.0909771,0.28193387,-0.03154837,-0.48255363,-0.045457248,-0.24525431,0.08166026,-0.31731385,0.07812392,-0.17751369,0.5177939,0.14701512,0.21053232,0.2846979,-0.49712607,-0.33653957,0.089957386,-0.24026652,0.071916185,0.2262519,-0.13384914,-0.1360851,0.5114913,-0.195567,0.07736604,0.031091833,-0.12343535,-0.18562086,0.078916706,0.3712567,0.14938013,0.20676401,0.125749,-0.06355383,0.20654327,0.11916314,0.13264254,0.15415324,0.011037143,-0.19059835,0.28695157,-0.2627734,-0.38019666,-0.29073438,0.25831848,0.051191915,0.1319557,0.27480832,-0.06379626,0.016696887,0.31086367,0.19384786,-0.572447,0.162277,-0.191683
David,0.050730128,-0.1470551,-0.065771565,0.03890593,-0.11507462,0.012362272,0.16183208,-0.31095943,-0.5829388,0.064513795,0.23201773,-0.19996712,-0.06249189,-0.19221158,-0.1730245,-0.09665811,-0.35206044,0.15481435,-0.44371787,0.17758383,0.27506748,0.53616,0.13137148,-0.51639736,-0.15636195,-0.09469711,0.034810927,0.17843638,-0.33423656,-0.049392376,-0.31856713,0.110348254,-0.20184352,-0.10191454,-0.45562977,-0.33972046,-0.3188982,0.5545081,0.16804662,0.29207936,-0.30339488,0.67756784,-0.35763407,0.18488827,0.30801332,-0.040856168,0.14753212,0.058988333,-0.20967476,0.5066363,-0.049355745,0.31626007,0.5678029,-0.18984905,0.23863298,-0.10333473,0.22587208,-0.21237908,0.19008468,-0.124898344,0.527039,-0.18008634,0.19213624,0.068631016
Henry,0.33279273,-0.10323489,0.24497424,0.088673,-0.03743564,-0.3844532,0.3614886,0.09415763,-0.031897236,-0.077696055,0.10029168,-0.11306035,0.28680867,-0.035687737,-0.19528015,-0.05527121,-0.50920504,-0.15576644,0.007632442,0.14150514,0.31897828,0.26238203,0.07027735,-0.3592078,-0.22042513,0.18194158,-0.31642735,0.0634889,0.3837975,-0.3999345,-0.16455299,-0.038174946,-0.020658063,-0.2205031,0.05437839,-0.16228943,-0.29035553,-0.40992203,0.004868674,0.20403728,-0.12297725,-0.15114532,-0.19516733,-0.008815138,0.30845946,-0.33299458,0.002503794,-0.38861385,0.06134092,0.08527961,0.29504594,-0.04573173,-0.22844864,0.1827168,-0.10571731,0.3151614,-0.38061547,0.23567808,-0.4086933,-0.03394229,-0.36411148,-0.47619578,0.3182931,0.06711323
Dean,0.15419908,0.14988565,0.056562837,0.10312244,0.26231548,-0.21592283,0.2565201,0.065797105,0.014423794,-0.02115594,-0.13573417,0.026551494,0.011468691,-0.063540705,0.33360738,-0.12732619,-0.32754502,-0.18608552,-0.12619437,-0.035344176,0.09320065,0.52352136,0.09451612,-0.5189652,-0.3693064,0.57608145,-0.14502463,0.28151834,0.2597145,0.13132235,-0.021470897,0.34953055,-0.17186,-0.27540797,-0.20930894,-0.4493073,0.109346405,0.018521924,-0.11924768,-0.03854498,-0.05579986,0.06697416,-0.27912185,-0.15803052,0.28522938,-0.33606812,0.41753066,-0.5610977,-0.057492882,-0.058891945,0.42171296,-0.123352796,-0.20914088,0.20667492,0.23343834,0.105209716,0.0012788553,-0.057923876,-0.2558025,-0.11829339,-0.2752642,0.054594416,0.019243235,-0.1136504
Larry,0.02755145,-0.23794149,0.1319462,0.14160037,0.051595148,-0.46470234,0.03604096,-0.059098143,-0.1723802,0.0058110347,-0.048891004,0.09899705,-0.31528133,0.07652048,0.06902456,0.28094244,-0.040326595,0.11576733,0.042812962,0.32935828,0.02827733,0.42957544,0.18375428,-0.19526716,-0.29391775,0.18650253,-0.1465894,0.22630069,0.4236514,-0.12516874,-0.15273024,-0.3491423,-0.42116958,-0.33543098,-0.29036048,-0.56412005,-0.014845296,0.014212468,-0.08408334,-0.12516703,0.27842182,0.15751858,-0.019530421,-0.5246176,0.10525942,0.22073328,-0.32757694,-0.3276403,-0.08997654,0.2803108,-0.14604534,-0.18797065,-0.01783367,0.102874756,0.7511215,0.016056009,0.17108741,0.20596562,-0.32129496,0.06263815,-0.108945966,-0.3107977,-0.25934693,-0.0132120075
Kenneth,0.24515297,0.0019231585,0.02333999,0.26229978,0.01159987,-0.2597384,0.50122625,0.032919455,-0.25483334,0.31482005,0.06947965,0.005565012,0.06492069,-0.24712235,-0.20224468,0.41272298,-0.18234257,0.26993993,-0.18994278,0.12576815,0.3729284,-0.0069971294,-0.099287875,-0.2563804,0.033520844,0.27682018,-0.3205636,0.19562727,0.060274284,-0.2536102,-0.15506667,-0.2905472,0.036480304,-0.49668622,-0.066631444,-0.11107276,-0.3159649,0.23742275,0.24768871,0.3324984,0.21602152,-0.01803372,-0.14857213,-0.43694434,0.407515,-0.21878639,-0.25845897,0.0063876505,-0.24775928,0.28077188,-0.106586,-0.23119165,-0.032300185,0.13815282,0.22259776,0.17119794,0.0036699297,-0.22800535,-0.05670886,-0.061717715,-0.07185884,0.27325192,-0.1064152,0.3570422
Mike,-0.004066789,-0.15007488,0.34668598,0.4634883,-0.12448964,-0.32175082,0.078258544,-0.21888019,-0.2521487,-0.6449695,0.1404848,-0.30568296,-0.21395236,0.35643888,-0.2746613,0.35111326,0.27696818,0.33564955,0.13557824,0.0071650324,0.31409985,0.13972782,-0.12077062,-0.49415323,-0.29571036,-0.3049698,-0.31428507,0.04385901,-0.036441915,-0.106656,0.40767083,0.40027046,-0.36519724,-0.1113801,-0.17291026,-0.0902799,0.04339393,0.013750187,0.2084992,0.16070446,-0.3598223,0.017092753,-0.1755723,0.07341198,0.4407633,0.14683065,0.18812686,0.12781245,-0.113343105,0.1256707,0.06684063,-0.30651432,0.24766845,0.27701175,0.24753124,0.3289636,-0.1071075,-0.30775127,-0.44544274,0.18952516,-0.44538596,0.035302058,0.32971612,-0.2111915
